Tipologia Programma - Codice;Progetto - Codice;Progetto - Titolo;Articolazione I livello - Codice;Articolazione III livello;Articolazione IV livello;CI - Campo Intervento - Descrizione;FF - Forma di Finanziamento - Descrizione;TT - Tipo di Territorio - Descrizione;AE - Attività Economica - Descrizione;RA - Risultato Atteso - Descrizione;RA - Obiettivo tematico - Descrizione;Provincia - Descrizione;Stato Attuazione Progetto;Costo Ammesso;Importo Impegni ammessi;Importo Pagamenti ammessi
IGJ;FESR-1-1.2.4-010073C;MARES S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;190172,45;190172,45;190172,45
IGJ;FESR-1-1.2.4-010076C;DRAFINSUB S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;534388,91;534388,91;534388,91
IGJ;FESR-1-1.2.4-010099C;VAR CONNECT S.R.L. (GIA' CIRCLE CAP S.R.L. GIA' PLANET LAB TECHNOLOGY S.R.L.);M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;386304,48;386304,48;386304,48
IGJ;FESR-1-1.2.4-010114C;BIOTEC SISTEMI S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;410488,09;410488,09;410488,09
IGJ;FESR-1-1.2.4-010119C;MBDA ITALIA S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;LA SPEZIA;In Esecuzione;464185,11;464185,11;0
IGJ;FESR-1-1.2.4-010122C;WYSCOUT S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;33778,43;33778,43;0
IGJ;FESR-1-1.2.4-010125C;LINEAR S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;360432,65;360432,65;360432,65
IGJ;FESR-1-1.2.4-020001C;TECHNOLEADER SOCIETA' A RESPONSABILITA' LIMITATA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Fabbricazione di computer e prodotti di elettronica e ottica;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;368286,99;368286,99;368286,99
IGJ;FESR-1-1.2.4-020004C;STARA GLASS S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;287595,45;287595,45;86278,64
IGJ;FESR-1-1.2.4-020019C;SOFTECO SISMAT S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;378042,88;378042,88;302434,3
IGJ;FESR-1-1.2.4-020029C;ISTITUTO ITALIANO DELLA SALDATURA - ENTE MORALE (SI PRECISA TRATTASI DI ENTE MORALE RICONOSCIUTO CON D.P.R. 20 GIUGNO 1961, N. 882 - G.U. N. 221 DEL 06/09/1961)  (EX IIS PROGRESS S.R.L.);M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;388398,32;388398,32;388398,32
IGJ;FESR-1-1.2.4-020047C;DANIELI TELEROBOT LABS S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;123430,41;123430,41;123430,41
IGJ;FESR-1-1.2.4-020048C;BERMUDA DESIGN S.A.S. DI MUZIO MARCO;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;396894,16;396894,16;119068,2
IGJ;FESR-1-1.2.4-020077C;GESCO S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;252707,27;252707,27;252707,27
IGJ;FESR-1-1.2.4-020088C;SOFTECO SISMAT S.R.L. (EX SELESOFT CONSULTING S.R.L.);M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;327647,37;327647,37;327647,37
IGJ;FESR-1-1.2.4-020099C;ECOMIN S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Industria estrattiva (compresa l'estrazione di materiali per la produzione di energia);Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;354070,8;354070,8;354070,8
IGJ;FESR-1-1.2.4-030002C;SITEM S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;509962,65;509962,65;203985,06
IGJ;FESR-1-1.2.4-030003C;LEONARDO -  SOCIETA' PER AZIONI;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;892665,41;892665,41;0
IGJ;FESR-1-1.2.4-030010C;ON AIR S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;322697;322697;129078,8
IGJ;FESR-1-1.2.4-030011C;SOFTJAM INNOVATION - SOCIETA' A RESPONSABILITA' LIMITATA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;350047,7;350047,7;0
IGJ;FESR-1-1.2.4-030012C;GPI SPA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;TRENTO;In Esecuzione;578857,33;578857,33;0
IGJ;FESR-1-1.2.4-030029C;AITEK SOCIETA' PER AZIONI;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;949317,47;949317,47;379726,99
IGJ;FESR-1-1.2.4-030030C;ETT S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;1040977,16;1040977,16;416390,86
IGJ;FESR-1-1.2.4-030031C;"""DETRA S.R.L.""";M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;545134,83;545134,83;0
IGJ;FESR-1-1.2.4-030039C;SIELCO S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;LA SPEZIA;In Esecuzione;467312,5;467312,5;186925
IGJ;FESR-1-1.2.4-030046C;ABB S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;720453,32;720453,32;0
IGJ;FESR-1-1.2.4-030053C;MAPS S.P.A.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;987259,83;987259,83;0
IGJ;FESR-1-1.2.4-030055C;FONDA S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Fabbricazione di computer e prodotti di elettronica e ottica;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;490983,44;490983,44;0
IGJ;FESR-1-1.2.4-030057C;SOFTECO SISMAT S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;915748,83;915748,83;366299,53
IGJ;FESR-1-1.2.4-030059C;GRUPPO SIGLA S.R.L.;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;In Esecuzione;1021814,97;1021814,97;0
IGJ;FESR-1-1.2.4G-001;PROGETTO DEFINITIVO DI RICERCA, SVILUPPO E INNOVAZIONE NEL SETTORE AUTOMOTIVE - CONTINENTAL BRAKES ITALY SPA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;3190181,64;3190181,64;3190181,64
IGJ;FESR-1-1.2.4G-002;PROGETTO DEFINITIVO DI RICERCA, SVILUPPO E INNOVAZIONE NEL SETTORE AUROSPAZIO - PIAGGIO AERO INDUSTRIES SPA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;In Esecuzione;3156910;3156910;0
IGJ;FESR-1-1.2.4G-003;SECONDO PROGETTO DEFINITIVO DI SVILUPPO SPERIMENTALE NEL SETTORE AUTOMOTIVE - CONTINENTAL BRAKES ITALY SPA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;1497500;1497500;0
IGJ;FESR-1-1.2.4G-004;TERZO PROGETTO DEFINITIVO DI RICERCA INDUSTRIALE NEL SETTORE AUTOMOTIVE - CONTINENTAL BRAKES ITALY SPA;M-1;1b;OS1.2;Sostegno ai cluster e alle reti di imprese, principalmente a vantaggio delle PMI;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Rafforzamento del sistema innovativo regionale e nazionale;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;1175000;1175000;0
IGJ;FESR-2-2.1.1-001;BANDA ULTRA LARGA LIGURIA (BULL) - ATTIVITA' DI COPROGETTAZIONE E COMPLEMENTARI ALL'INTERVENTO BULL ATTUATO DAL MISE;M-2;2a;OS2.1;"TIC: rete a banda larga ad alta velocità (accesso/linea locale; >/= 30 Mbps)";Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;"Riduzione dei divari digitali nei territori e diffusione di connettività in banda ultra larga (""Digital Agenda"" europea)";Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;499991,77;499991,77;373765,23
IGJ;FESR-2-2.1.1-002/01;BANDA ULTRALARGA NELLE AREE BIANCHE DEL TERRITORIO DELLA REGIONE LIGURIA CON FONDI FESR;M-2;2a;OS2.1;"TIC: rete a banda larga ad alta velocità (accesso/linea locale; >/= 30 Mbps)";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;"Riduzione dei divari digitali nei territori e diffusione di connettività in banda ultra larga (""Digital Agenda"" europea)";Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;GENOVA;In Esecuzione;19500000;19500000;414830,84
IGJ;FESR-2-2.1.1-002/01;BANDA ULTRALARGA NELLE AREE BIANCHE DEL TERRITORIO DELLA REGIONE LIGURIA CON FONDI FESR;M-2;2a;OS2.1;"TIC: rete a banda larga ad alta velocità (accesso/linea locale; >/= 30 Mbps)";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;"Riduzione dei divari digitali nei territori e diffusione di connettività in banda ultra larga (""Digital Agenda"" europea)";Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;IMPERIA;In Esecuzione;19500000;19500000;414830,84
IGJ;FESR-2-2.1.1-002/01;BANDA ULTRALARGA NELLE AREE BIANCHE DEL TERRITORIO DELLA REGIONE LIGURIA CON FONDI FESR;M-2;2a;OS2.1;"TIC: rete a banda larga ad alta velocità (accesso/linea locale; >/= 30 Mbps)";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;"Riduzione dei divari digitali nei territori e diffusione di connettività in banda ultra larga (""Digital Agenda"" europea)";Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;LA SPEZIA;In Esecuzione;19500000;19500000;414830,84
IGJ;FESR-2-2.1.1-002/01;BANDA ULTRALARGA NELLE AREE BIANCHE DEL TERRITORIO DELLA REGIONE LIGURIA CON FONDI FESR;M-2;2a;OS2.1;"TIC: rete a banda larga ad alta velocità (accesso/linea locale; >/= 30 Mbps)";Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Azioni di informazione e comunicazione, comprese le telecomunicazioni, le attività dei servizi d'informazione, la programmazione informatica, la consulenza e le attività connesse;"Riduzione dei divari digitali nei territori e diffusione di connettività in banda ultra larga (""Digital Agenda"" europea)";Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;SAVONA;In Esecuzione;19500000;19500000;414830,84
IGJ;FESR-2-2.2.1-001;PRIME ATTIVITA' PER L'ATTUAZIONE DEL FASCICOLO SANITARIO ELETTRONICO IN LIGURIA;M-2;2c;OS2.2;Soluzioni TIC volte ad affrontare la sfida dell'invecchiamento attivo e in buona salute nonché servizi e applicazioni per la sanità elettronica (compresa la teleassistenza e la domotica per categorie deboli);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;Concluso;999999,98;999999,98;999999,98
IGJ;FESR-2-2.2.1-002;RAFFORZAMENTO DELLA RETE LIGURIA WIFI;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;506000;506000;506000
IGJ;FESR-2-2.2.1-003;SVILUPPO ULTERIORI ATTIVITA' PER L'ATTUAZIONE DEL FASCICOLO SANITARIO ELETTRONICO IN LIGURIA;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;3000000;3000000;2765340,17
IGJ;FESR-2-2.2.1-004;EASY HOLIDAY;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;649962;649962;454973,38
IGJ;FESR-2-2.2.1-005;BDL BIG DATA LIGURIA;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;350000;350000;105000
IGJ;FESR-2-2.2.1-006;OPEN MAPS;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;599957;597001,88;597001,88
IGJ;FESR-2-2.2.2-001;PROGETTO DISPIEGAMENTO DEL SISTEMA PUBBLICO PER LA GESTIONE DELL'IDENTITA' DIGITALE DI CITTADINI E IMPRESE (SPID) NEL SIIR;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;700000;700000;592771,37
IGJ;FESR-2-2.2.2-002;PROGETTO ERP LIGURIA;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;2000000;2000000;1094098,14
IGJ;FESR-2-2.2.2-003;PROGETTO ONE STOP;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;729917;729917;200000
IGJ;FESR-2-2.2.2-004;PROGETTO LIGHT TRADE;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;599979;599979;411549,31
IGJ;FESR-2-2.2.2-005;PROGETTO EASY HOME;M-2;2c;OS2.2;Servizi e applicazioni di e-government (compresi gli appalti elettronici, le misure TIC a sostegno della riforma della pubblica amministrazione, la sicurezza informatica, le misure relative alla fiducia e alla riservatezza, la giustizia elettronica e la democrazia elettronica);Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Digitalizzazione dei processi amministrativi e diffusione di servizi digitali pienamente interoperabili;Migliorare l'accesso alle tecnologie dell'informazione e della comunicazione, nonché l'impiego e la qualità delle medesime;Tutte le provincie;In Esecuzione;350000;350000;105000
